BEDRIJFSNAAM;VESTIGINGSPLAATS;"UITBETAALD VOORSCHOT";"VASTGESTELDE SUBSIDIE"
!PET VISUELE COMMUNICATIE B.V.;HOOGEVEEN;28,668;0
""" SERVICE- EN VERSPREIDINGSBUREAU WILLEMS "" V.O.F.";DUIVEN;5,064;2,415
"""AAN DE MAAS"" EXPLOITATIE B.V.";SCHIEDAM;14,440;0
"""ACHT"" UITZENDBURO B.V.";BLEISWIJK;33,620;0
"""ACHT"" UITZENDBURO B.V.";BLEISWIJK;4,752;0
"""ACHT"" UITZENDBURO B.V.";BLEISWIJK;83,048;0
"""ART OF PRIVATE SHAKING"" GLASS & BAR SUPPLY B.V.";DIEMEN;46,912;0
"""B.V. BOUW- EN AANNEMINGSBEDRIJF G. DE HAAN EN ZN"".";GARYP;55,668;93,359
"""BETONVERENIGING""";GOUDA;112,804;125,898
"""BUITENLUST"" VOORTHUIZEN B.V.";VOORTHUIZEN;21,988;-
"""CAVE ROKIN"" WINE & LIQUOR SHOP V.O.F.";AMSTERDAM;3,592;3,575
"""CHEKIANG GARDEN""";ROTTERDAM;9,360;2,867
"""DE LEEUW"" GROOTKEUKENTECHNIEK B.V.";DIESSEN;24,716;31,492
"""DE WIJDE BLICK"" NOORDWIJKERHOUT B.V.";NOORDWIJKERHOUT;2,136;0
"""DOUWES MACHINES B.V.""";HARKEMA;12,244;11,423
"""EURO-ANTIQUES"" B.V.";SINT-OEDENRODE;5,788;7,719
"""G.T.R."" GROENENBOOM TRAILER REPARATIE B.V.";ROTTERDAM;28,920;27,853
"""GROOTHANDEL TRUCK ONDERDELEN"" (G.T.O.) B.V.";HOENSBROEK;98,552;-
"""HUIZE MAAS"" B.V.";GRONINGEN;56,748;34,050
"""LMC"" SERVICES B.V.";VELSEN-ZUID;31,996;35,048
"""MULDERS-JANSSEN"" V.O.F.";OOST WEST EN MIDDELBEERS;8,380;15,711
"""OP ZUID"" EXPLOITATIE B.V.";ROTTERDAM;20,308;1,825
"""OPERATIONAL CARE""";NIJMEGEN;15,324;9,578
"""ORANGE AFRICA TRAVEL"" B.V.";ZEVENHUIZEN ZH;1,228;1,704
"""RESTAURANT-CAFE DE WAAG"" B.V.";AMSTERDAM;159,344;184,085
"""STICHTING BUITENVERBLIJF ZONNEWENDE";SINT-MICHIELSGESTEL;39,228;62,284
"""STICHTING DROOGDOK JAN BLANKEN HELLEVOETSLUIS""";HELLEVOETSLUIS;12,476;0
"""STICHTING MULTIFUNKTIONEEL CENTRUM OUDEGA (WYMBRITSERADEEL)";OUDEGA SUDWEST-FRYSLAN;11,992;8,142
"""STICHTING UNIE VAN VRIJWILLIGERS, AFDELING NIJKERK""";NIJKERK GLD;5,304;6,365
"""T BONTE SCHAEP"" C.V.";BERGAMBACHT;3,848;6,982
"""TENNIS- EN PADELVERENIGING HEERHUGOWAARD""";HEERHUGOWAARD;28,556;3,031
"""THE LANGUAGE LAB TALENSERVICE B.V.""";AMSTERDAM;32,492;57,637
"""VENNOOTSCHAP ONDER FIRMA OME KO""";WIJK BIJ DUURSTEDE;1,000;0
"""V-MAX RACING MANAGEMENT B.V.""";BREDA;12,300;15,725
"""WAH NAM HONG BEHEER"" B.V.";AMSTERDAM;7,244;12,678
&BEYOND B.V.;ROTTERDAM;54,060;61,538
&GOMMER PENSIONS GROUP B.V.;TILBURG;9,276;0
&MAES B.V.;AMSTERDAM;27,024;27,025
&RANJ B.V.;ROTTERDAM;92,828;104,878
&SAMHOUD FOOD B.V.;UTRECHT;26,680;0
&SAMHOUD NEDERLAND B.V.;UTRECHT;572,168;167,224
&WORK B.V.;AMSTERDAM;514,880;-
(AD) VENTURE BOYZ B.V.;NAARDEN;6,360;-
(BBP) BEERENS-BUSINESS PRESS B.V.;WOERDEN;275,484;0
(IM)PROVED B.V.;HAARLEM;19,200;22,973
(K.T.S.) KRAAN- EN TRUCKSERVICE B.V.;WADDINXVEEN;21,504;20,668
(NAAST) DE MARKT B.V.;UTRECHT;109,352;66,877
(Y) UKKIES BABY-EN KINDERKLEDING B.V.;LAREN NH;3,808;0
. AMRIZAL;S-GRAVENHAGE;3,620;0
. ASMA HAFEEZ;AMSTELVEEN;2,524;2,420
...,STAAT CREATIVE AGENCY B.V.;AMSTERDAM;203,716;91,801
@ THE ACADEMY B.V.;EINDHOVEN;22,224;24,888
@ YOUR SERVICE B.V.;DE KWAKEL;4,844;0
@DCOMMUNICATIE V.O.F.;HELMOND;62,468;40,778
@INET TECHNOLOGY CONSULTANCY B.V.;WATERINGEN;16,264;9,573
@KEK B.V.;LOENEN AAN DE VECHT;15,204;15,626
@LL VOLTAGE SUPPLY B.V.;SCHIEDAM;62,660;0
@WORKSTREET B.V.;BREDA;20,292;-
\VIDIBOKO B.V.;AMSTERDAM;146,060;0
010 AUTOVERHUUR B.V.;S-GRAVENHAGE;21,436;0
010 PERSONEEL B.V.;ROTTERDAM;11,812;0
010GYM B.V.;ROTTERDAM;1,820;1,415
01-10 ARCHITECTEN B.V.;ROTTERDAM;31,484;31,665
040FIT BOXTEL B.V.;BOXTEL;3,144;-
0410 B.V.;AMSTERDAM;499;0
050CREW B.V.;GRONINGEN;21,820;-
073 MEETING COMPANY B.V.;S-HERTOGENBOSCH;37,372;19,764
0TO9 B.V.;ROTTERDAM;61,168;0
1 CONNECTION B.V.;ALPHEN AAN DEN RIJN;10,852;0
1 GROUP SOLUTION B.V.;DE GOORN;2,668;0
1 VOICE B.V.;WIJCHEN;7,404;-
1,2..8 B.V.;NIEUWEGEIN;36,116;42,800
100 B.V.;BREDA;79,396;0
100 INDUSTRIE B.V.;REEUWIJK;33,184;16,299
100% FOOTBALL DEVENTER B.V.;APELDOORN;6,680;-
100% FOOTBALL RETAIL B.V.;APELDOORN;34,092;8,152
100% NL MAGAZINE B.V.;VOLENDAM;56,368;23,496
100% SALARISVERWERKING B.V.;ZOETERMEER;6,304;6,832
100% TEAMWEAR B.V.;APELDOORN;7,708;-
1001CONCEPTEN B.V.;VIANEN UT;3,872;1,936
101 GOWRIE B.V.;AMSTERDAM;10,264;2,456
10FEET B.V.;AMSTERDAM;14,292;13,942
10FORWARD B.V.;AMSTERDAM;28,824;0
10UUR COMMUNICATIE & CREATIE B.V.;ZIERIKZEE;48,784;52,532
10XCREW B.V.;EINDHOVEN;38,088;-
10XL B.V.;HARDINXVELD-GIESSENDAM;5,244;0
112AUTOMOTIVE B.V.;ZEIST;39,616;0
112SCHADE B.V.;ZEIST;8,872;0
123 FLOORRENT B.V.;BLADEL;16,864;12,761
123ARCHIEF B.V.;GRONINGEN;15,132;-
123ONTSTOPPER B.V.;HOOGEZAND;10,788;0
123TELCOM B.V.;ENSCHEDE;40,648;0
12B SURE B.V.;S-HERTOGENBOSCH;24,256;0
12MPROVE ACADEMY B.V.;ANKEVEEN;27,316;12,897
12MPROVE B.V.;ANKEVEEN;70,212;32,292
12RETURN B.V.;GORINCHEM;14,528;21,439
1714 DRINKS & BITES VOF;SCHIEDAM;6,424;0
1BLUE OCEAN B.V.;ARNHEM;7,260;0
1ERANG PRODUCTIES B.V.;AMSTERDAM;10,944;-
1MINUUT B.V.;NIJMEGEN;65,200;-
1MOBILITY GROUP B.V.;ENSCHEDE;8,736;7,097
1NERGIEK B.V.;LIJNDEN;602,136;873,947
1TRANSVIR B.V.;ALMERE;15,436;-
1ZERO B.V.;UTRECHT;55,228;55,216
2 ACHIEVE B.V.;NIEUW-VENNEP;11,480;0
2 DE HANDS WINKELINVENTARIS B.V.;NIJMEGEN;10,820;0
2 GETTHERE B.V.;UTRECHT;340,112;-
2 GETTHERE HOLDING B.V.;UTRECHT;24,768;-
2 MET B.V.;BARENDRECHT;19,928;23,912
2 PLUS EXHIBITIONS AND INTERIORS B.V.;ROSMALEN;70,624;58,419
2 REPAIR-IT B.V.;RIJSWIJK ZH;39,768;0
2 T & E B.V.;HALSTEREN;21,836;30,023
2 X T GROEP B.V.;ST. WILLEBRORD;4,924;0
2.0 BEVEILIGING B.V.;AERDENHOUT;10,680;0
200 GRADEN CATERING B.V.;OSS;9,400;9,833
2050 FACTORY B.V.;AMSTERDAM;19,436;0
21 MARKETS B.V.;AMSTERDAM;89,304;0
210% B.V.;AMERONGEN;6,764;0
22-24 CLUB & EVENT B.V.;DOETINCHEM;26,200;30,483
227 DATASCIENCE B.V.;UTRECHT;57,776;38,886
227 LEARNING B.V.;UTRECHT;24,496;34,438
227 SEARCH B.V.;UTRECHT;4,836;7,136
227SCIENCE B.V.;UTRECHT;12,260;0
24 INDOOR SUPPORT B.V.;ALKMAAR;21,854;49,173
24 JUMP DIEMEN B.V.;DIEMEN;1,590;2,511
24 JUMP HEERLEN B.V.;HEERLEN;2,542;5,698
24 JUMP WARMOND B.V.;WARMOND;1,356;0
24 PLAY AMSTERDAM B.V.;AMSTERDAM;2,050;4,272
24 PLAY BLEISWIJK B.V.;BLEISWIJK;4,406;2,977
24 PLAY BREDA B.V.;BREDA;13,222;13,880
24 PLAY BUNGELLAND B.V.;ROTTERDAM;22,944;23,509
24 PLAY DIEMEN B.V.;DIEMEN;2,782;779
24 PLAY GOUDA B.V.;GOUDA;2,328;5,237
24 PLAY HEERLEN B.V.;HEERLEN;3,136;2,087
24 PLAY RIJSWIJK B.V.;RIJSWIJK ZH;13,708;0
