BEDRIJFSNAAM;VESTIGINGSPLAATS;UITGEKEERDE SUBSIDIEBEDRAG
KONINKLIJKE LUCHTVAART MAATSCHAPPIJ N.V.;AMSTELVEEN;285425572
TATA STEEL IJMUIDEN B.V.;VELSEN-NOORD;37873780
SCHIPHOL NEDERLAND B.V.;SCHIPHOL;30619056
TRANSAVIA AIRLINES C.V.;SCHIPHOL;25941052
HOLLAND CASINO N.V.;HOOFDDORP;25849288
DAF TRUCKS N.V.;EINDHOVEN;20496644
ATOS NEDERLAND B.V.;AMSTELVEEN;13105728
QBUZZ B.V.;AMERSFOORT;12332684
ADECCO HR SOLUTIONS B.V.;ZALTBOMMEL;11167580
VDL NEDCAR B.V.;BORN;10769188
TIMING FLEXGROEP B.V.;APELDOORN;8795464
KLM CATERING SERVICES               SCHIPHOL B.V.;SCHIPHOL;8588816
RAI AMSTERDAM B.V.;AMSTERDAM;8487596
IHC MERWEDE EMPLOYMENT B.V.;KINDERDIJK;8376144
CHEMOURS NETHERLANDS B.V.;DORDRECHT;8296592
I-SEC NEDERLAND B.V.;SCHIPHOL;8193284
7SEVEN B.V.;AMSTERDAM;8174640
COMPASS GROUP NEDERLAND B.V.;AMSTERDAM;8161420
TUI NEDERLAND N.V.;RIJSWIJK ZH;7904788
E V TILBURG BV;TILBURG;7712108
D-RT RETAIL B.V.;HOOFDDORP;7538804
ARRIVA PERSONENVERVOER              NEDERLAND B.V.;HEERENVEEN;7358752
FOKKER AEROSTRUCTURES B.V.;PAPENDRECHT;6727608
CONNEXXION OPENBAAR VERVOER N.V.;HILVERSUM;6676152
COOPERATIE ROYAL FLORAHOLLAND U.A.;AALSMEER;6484908
EW CLEANING OPERATIONS B.V.;ARNHEM;5988428
TUI AIRLINES NEDERLAND B.V.;RIJSWIJK ZH;5792092
ALBRON NEDERLAND B.V.;DE MEERN;5485512
CYGNIFIC B.V.;AMSTERDAM;5467088
HORECA EXPLOITATIE MAATSCHAPPIJ     SCHIPHOL B.V.;SCHIPHOL;5251428
SODEXO B.V.;ROTTERDAM;5186380
COVEBO PRODUCTIE EN LOGISTIEK B.V.;NIJKERK GLD;4741540
ACCORD UITZENDBUREAU B.V.;HUIZEN;4462040
PATHE THEATRES B.V.;AMSTERDAM;4397960
P-SERVICES SOLUTIONS B.V.;BARNEVELD;4355088
MAAS INTERNATIONAL B.V.;SON EN BREUGEL;4257820
EUREST SERVICES B.V.;AMSTERDAM;4240456
V'BUSINESS B.V.;ROSMALEN;4142872
SODEXO NEDERLAND B.V.;ROTTERDAM;4104028
HORIZON MEAT SERVICES B.V.;VELP GLD;4031396
GATE GOURMET AMSTERDAM B.V.;SCHIPHOL;4025576
ADECCO PERSONEELSDIENSTEN B.V.;ZALTBOMMEL;3968328
KOLIBRIE PAYROLLING B.V.;TILBURG;3942384
FLEXPEDIA UITZENDEN B.V.;HAARLEM;3906712
JAARBEURS B.V.;UTRECHT;3901888
STICHTING MARITIEM RESEARCH         INSTITUUT NEDERLAND;WAGENINGEN;3867060
ALBEMARLE CATALYSTS COMPANY B.V.;AMSTERDAM;3866640
BIDFOOD B.V.;EDE GLD;3756928
APPEL B.V.;'S-HERTOGENBOSCH;3737604
QBUZZ GRONINGEN UTRECHT B.V.;AMERSFOORT;3728032
C. STEINWEG-HANDELSVEEM B.V.;ROTTERDAM;3634416
EASYJET AIRLINE CO LTD;AMSTERDAM;3581752
